id,headline,ethicality_0_10,visibility_0_10,accountability_0_10,assessment_basis,rationale
179,Russian militia attacks on a greenhouse in Kherson region,3,5,7,headline_only_unverified,Alleged property or cultural-site destruction; visibility reduced: ambiguous militia attribution.
180,Russian forces shoot 2 children dead in Mariupol,2,6,7,headline_only_unverified,Serious conflict-related allegation; visibility moderate: unverified but less overtly fabricated from headline alone.
181,Russia carries out a retaliation campaign following the attack on a Russian convoy in Zaporizhzhia,2,6,7,headline_only_unverified,Serious conflict-related allegation; visibility moderate: unverified but less overtly fabricated from headline alone.
182,Russian forces and militia carry out a pogrom on the village of Soledar,2,3,7,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: loaded wording; ambiguous militia attribution.
183,Russia summarily executes Taras Shevchenko at the Donetsk checkpoint,3,5,7,headline_only_unverified,Serious conflict-related allegation; visibility moderate: unverified but less overtly fabricated from headline alone.
184,Hyperviolent night pogrom in Bucha outskirts,2,5,7,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: loaded wording.
185,80 injured in a Russian raid on Kharkiv,2,6,7,headline_only_unverified,Alleged detention/abduction/raid; visibility moderate: unverified but less overtly fabricated from headline alone.
186,Bloody raid on Kyiv northern district,2,4,7,headline_only_unverified,Alleged detention/abduction/raid; visibility reduced: loaded wording.
187,Besieged Ukrainian resident by militia in Irpin,2,3,7,headline_only_unverified,Alleged detention/abduction/raid; visibility reduced: specific named-victim claim; ambiguous militia attribution.
188,Ethnic cleansing of the Lyman riverside community,0,6,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
189,Strike on the Zaporizhzhia secondary school,1,7,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility moderate: unverified but less overtly fabricated from headline alone.
190,Militia violence on Donetsk and Soledar communities,2,4,7,headline_only_unverified,Serious conflict-related allegation; visibility reduced: ambiguous militia attribution.
191,Destruction of Dr. Olena Kovalchuk's house,3,4,7,headline_only_unverified,Alleged property or cultural-site destruction; visibility reduced: specific named-victim claim.
192,Assassination of Dmytro Bondarenko 18 y/o by Russian soldiers,0,3,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; grave accusation without source details.
193,"'Pacification operations' on farmland and farmers' properties (Kherson, Zaporizhzhia, Donetsk)",2,4,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: implausible or highly specific label.
194,Assassination of Vasyl Petrenko by off-duty Russian soldier in Lyman,0,4,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; grave accusation without source details.
195,Russia's annihilation of Mariupol city ahead of occupation plans,2,5,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: loaded wording.
196,Assassination of journalist crew at Mariupol hospital,0,6,10,headline_only_unverified,Alleged harm to protected civilians/sites; visibility moderate: unverified but less overtly fabricated from headline alone.
197,Ethnic cleansing of Donbas farming community,0,5,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
198,Demolition of a school under construction in the village of Siversk,3,5,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility moderate: unverified but less overtly fabricated from headline alone.
199,Ethnic cleansing of Kherson riverside community,0,6,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
200,The Moroz family massacred at the Kharkiv school shelter,0,4,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
